Athlete,Country,Year,Sport,Gold,Silver,Bronze,Total
Guo Yue,China,2004,Table Tennis,0,0,1,1
Yolane Kukla,Australia,2012,Swimming,1,0,0,1
Dan Izotov,Russia,2008,Swimming,0,1,0,1
Emily Seebohm,Australia,2008,Swimming,1,0,0,1
Daniela Götz,Germany,2004,Swimming,0,0,1,1
Federica Pellegrini,Italy,2004,Swimming,0,1,0,1
Dana Vollmer,United States,2004,Swimming,1,0,0,1
Britta Steffen,Germany,2000,Swimming,0,0,1,1
Kirsten Thomson,Australia,2000,Swimming,0,1,0,1
Anastasiya Ivankova,Belarus,2008,Rhythmic Gymnastics,0,0,1,1
Elisa Blanchi,Italy,2004,Rhythmic Gymnastics,0,1,0,1
Elisa Santoni,Italy,2004,Rhythmic Gymnastics,0,1,0,1
Tatyana Ananko,Belarus,2000,Rhythmic Gymnastics,0,1,0,1
Maria Georgatou,Greece,2000,Rhythmic Gymnastics,0,0,1,1
Nataliya Lavrova,Russia,2000,Rhythmic Gymnastics,1,0,0,1
Mariya Lazuk,Belarus,2000,Rhythmic Gymnastics,0,1,0,1
Anna Polatou,Greece,2000,Rhythmic Gymnastics,0,0,1,1
Irina Zilber,Russia,2000,Rhythmic Gymnastics,1,0,0,1
Emma Eliasson,Sweden,2006,Ice Hockey,0,1,0,1
Pernilla Winberg,Sweden,2006,Ice Hockey,0,1,0,1
Lyndsay Wall,United States,2002,Ice Hockey,0,1,0,1
Diana Bulimar,Romania,2012,Gymnastics,0,0,1,1
Anastasiya Grishina,Russia,2012,Gymnastics,0,1,0,1
Larisa Iordache,Romania,2012,Gymnastics,0,0,1,1
Andreea Acatrinei,Romania,2008,Gymnastics,0,0,1,1
Deng Linlin,China,2008,Gymnastics,1,0,0,1
Jiang Yuyuan,China,2008,Gymnastics,1,0,0,1
Li Shanshan,China,2008,Gymnastics,1,0,0,1
Samantha Peszek,United States,2008,Gymnastics,0,1,0,1
Bridget Sloan,United States,2008,Gymnastics,0,1,0,1
Mariya Kryuchkova,Russia,2004,Gymnastics,0,0,1,1
Émilie Le Pennec,France,2004,Gymnastics,1,0,0,1
Courtney McCool,United States,2004,Gymnastics,0,1,0,1
Patricia Moreno,Spain,2004,Gymnastics,0,0,1,1
Loredana Boboc,Romania,2000,Gymnastics,1,0,0,1
Anna Chepeleva,Russia,2000,Gymnastics,0,1,0,1
Andreea Isarescu,Romania,2000,Gymnastics,1,0,0,1
Anastasiya Kolesnikova,Russia,2000,Gymnastics,0,1,0,1
Idriss Carlos Kameni,Cameroon,2000,Football,1,0,0,1
Sarah Hughes,United States,2002,Figure Skating,1,0,0,1
Brittany Broben,Australia,2012,Diving,0,1,0,1
Melissa Wu,Australia,2008,Diving,0,1,0,1
Nataliya Goncharova,Russia,2004,Diving,0,1,0,1
Sang Xue,China,2000,Diving,1,0,0,1
Missy Franklin,United States,2012,Swimming,4,0,1,5
Ian Thorpe,Australia,2000,Swimming,3,2,0,5
Aliya Mustafina,Russia,2012,Gymnastics,1,1,2,4
Laure Manaudou,France,2004,Swimming,1,1,1,3
Jin Seon-Yu,South Korea,2006,Short-Track Speed Skating,3,0,0,3
Yekaterina Lobaznyuk,Russia,2000,Gymnastics,0,2,1,3
Yelena Zamolodchikova,Russia,2000,Gymnastics,2,1,0,3
Giaan Rooney,Australia,2000,Swimming,0,2,0,2
Park Seung-Hui,South Korea,2010,Short-Track Speed Skating,0,0,2,2
Choi Eun-Gyeong,South Korea,2002,Short-Track Speed Skating,1,1,0,2
Viktoriya Komova,Russia,2012,Gymnastics,0,2,0,2
Mariya Paseka,Russia,2012,Gymnastics,0,1,1,2
Alexandra Eremia,Romania,2004,Gymnastics,1,0,1,2
Monica Rosu,Romania,2004,Gymnastics,2,0,0,2
Hu Jia,China,2000,Diving,0,2,0,2
Yun Mi-Jin,South Korea,2000,Archery,2,0,0,2
Long Qingquan,China,2008,Weightlifting,1,0,0,1
Zarema Kasayeva,Russia,2004,Weightlifting,0,0,1,1
Cheryl Haworth,United States,2000,Weightlifting,0,0,1,1
Zhang Xiangxiang,China,2000,Weightlifting,0,0,1,1
Buttree Puedpong,Thailand,2008,Taekwondo,0,1,0,1
Chen Zhong,China,2000,Taekwondo,1,0,0,1
Chi Shu-Ju,Chinese Taipei,2000,Taekwondo,0,0,1,1
Charlotte Bonnet,France,2012,Swimming,0,0,1,1
Kosuke Hagino,Japan,2012,Swimming,0,0,1,1
Hao Yun,China,2012,Swimming,0,0,1,1
Lia Neal,United States,2012,Swimming,0,0,1,1
Ranomi Kromowidjojo,Netherlands,2008,Swimming,1,0,0,1
Xu Tianlongzi,China,2008,Swimming,0,0,1,1
Zhao Jing,China,2008,Swimming,0,0,1,1
Zhu Qianwei,China,2008,Swimming,0,1,0,1
Rhi Jeffrey,United States,2004,Swimming,1,0,0,1
Jess Schipper,Australia,2004,Swimming,1,0,0,1
Chantal Groot,Netherlands,2000,Swimming,0,1,0,1
Aaron Peirsol,United States,2000,Swimming,0,1,0,1
Kaitlin Sandeno,United States,2000,Swimming,0,0,1,1
Gang Cho-Hyeon,South Korea,2000,Shooting,0,1,0,1
Kseniya Dudkina,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Nataliya Leshchik,Belarus,2012,Rhythmic Gymnastics,0,1,0,1
Alina Makarenko,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Aleksandra Narkevich,Belarus,2012,Rhythmic Gymnastics,0,1,0,1
Karolina Sevastyanova,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Darya Shkurikhina,Russia,2008,Rhythmic Gymnastics,1,0,0,1
Zornitsa Marinova,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Galina Tancheva,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Vladislava Tancheva,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Eirini A?ndili,Greece,2000,Rhythmic Gymnastics,0,0,1,1
Tatyana Belan,Belarus,2000,Rhythmic Gymnastics,0,1,0,1
Alina Kabayeva,Russia,2000,Rhythmic Gymnastics,0,0,1,1
Zara Karyami,Greece,2000,Rhythmic Gymnastics,0,0,1,1
Eva Khristodoulou,Greece,2000,Rhythmic Gymnastics,0,0,1,1
Mariya Netesova,Russia,2000,Rhythmic Gymnastics,1,0,0,1
Olga Puzhevich,Belarus,2000,Rhythmic Gymnastics,0,1,0,1
Anssi Koivuranta,Finland,2006,Nordic Combined,0,0,1,1
Ilias Iliadis,Greece,2004,Judo,1,0,0,1
Jenni Asserholt,Sweden,2006,Ice Hockey,0,1,0,1
Danijela Rundqvist,Sweden,2002,Ice Hockey,0,0,1,1
Evelina Samuelsson,Sweden,2002,Ice Hockey,0,0,1,1
Jordyn Wieber,United States,2012,Gymnastics,1,0,0,1
Andreea Grigore,Romania,2008,Gymnastics,0,0,1,1
Ana Tamârjan,Romania,2008,Gymnastics,0,0,1,1
Ling Jie,China,2000,Gymnastics,0,1,0,1
Modeste M'Bami,Cameroon,2000,Football,1,0,0,1
Olha Kharlan,Ukraine,2008,Fencing,1,0,0,1
Cao Yuan,China,2012,Diving,1,0,0,1
Lin Yue,China,2008,Diving,1,0,0,1
Li Ting,China,2004,Diving,1,0,0,1
Claressa Shields,United States,2012,Boxing,1,0,0,1
Amir Khan,Great Britain,2004,Boxing,0,1,0,1
Atagün Yalçinkaya,Turkey,2004,Boxing,0,1,0,1
Ricky Rubio,Spain,2008,Basketball,0,1,0,1
Timothy Kitum,Kenya,2012,Athletics,0,0,1,1
Kamila Skolimowska,Poland,2000,Athletics,1,0,0,1
Tim Cuddihy,Australia,2004,Archery,0,0,1,1
Wang Cheng-Pang,Chinese Taipei,2004,Archery,0,1,0,1
Kateryna Serdiuk,Ukraine,2000,Archery,0,1,0,1
Nastia Liukin,United States,2008,Gymnastics,1,3,1,5
Brittany Elmslie,Australia,2012,Swimming,1,2,0,3
Leisel Jones,Australia,2004,Swimming,1,1,1,3
Yana Klochkova,Ukraine,2000,Swimming,2,1,0,3
Aly Raisman,United States,2012,Gymnastics,2,0,1,3
Park Tae-Hwan,South Korea,2008,Swimming,1,1,0,2
Kara Lynn Joyce,United States,2004,Swimming,0,2,0,2
Alice Mills,Australia,2004,Swimming,2,0,0,2
Amanda Weir,United States,2004,Swimming,0,2,0,2
Klete Keller,United States,2000,Swimming,0,1,1,2
Diana Munz,United States,2000,Swimming,1,1,0,2
Zhou Yang,China,2010,Short-Track Speed Skating,2,0,0,2
Sandra Izbasa,Romania,2008,Gymnastics,1,0,1,2
Terin Humphrey,United States,2004,Gymnastics,0,2,0,2
Courtney Kupets,United States,2004,Gymnastics,0,1,1,2
Maria Olaru,Romania,2000,Gymnastics,1,1,0,2
Becca Ward,United States,2008,Fencing,0,0,2,2
Wu Minxia,China,2004,Diving,1,1,0,2
Guo Jingjing,China,2000,Diving,0,2,0,2
Xu Li,China,2008,Wrestling,0,1,0,1
Wang Xu,China,2004,Wrestling,1,0,0,1
Valentin Xristov,Azerbaijan,2012,Weightlifting,0,0,1,1
Szymon Kolecki,Poland,2000,Weightlifting,0,1,0,1
Dušan Mandic,Serbia,2012,Waterpolo,0,0,1,1
Nancy Carrillo,Cuba,2004,Volleyball,0,0,1,1
Huang Shanshan,China,2004,Trampoline,0,0,1,1
Aleksey Denisenko,Russia,2012,Taekwondo,0,0,1,1
Hwang Gyeong-Seon,South Korea,2004,Taekwondo,0,0,1,1
Laura Robson,Great Britain,2012,Tennis,0,1,0,1
Yelena Dementyeva,Russia,2000,Tennis,0,1,0,1
Serena Williams,United States,2000,Tennis,1,0,0,1
Huang Xuechen,China,2008,Synchronized Swimming,0,0,1,1
Svetlana Romashina,Russia,2008,Synchronized Swimming,1,0,0,1
Yelena Soya,Russia,2000,Synchronized Swimming,1,0,0,1
Rachel Bootsma,United States,2012,Swimming,1,0,0,1
Li Xuanxu,China,2012,Swimming,0,0,1,1
Li Yunqi,China,2012,Swimming,0,0,1,1
Angie Bainbridge,Australia,2008,Swimming,1,0,0,1
Jiao Liuyang,China,2008,Swimming,0,1,0,1
Kylie Palmer,Australia,2008,Swimming,1,0,0,1
Allison Schmitt,United States,2008,Swimming,0,0,1,1
László Cseh Jr.,Hungary,2004,Swimming,0,0,1,1
Inge Dekker,Netherlands,2004,Swimming,0,0,1,1
Larsen Jensen,United States,2004,Swimming,0,1,0,1
Stanislava Komarova,Russia,2004,Swimming,0,1,0,1
Li Ji,China,2004,Swimming,0,1,0,1
Sam Arsenault,United States,2000,Swimming,1,0,0,1
Amanda Beard,United States,2000,Swimming,0,0,1,1
Ian Crocker,United States,2000,Swimming,1,0,0,1
Elka Graham,Australia,2000,Swimming,0,1,0,1
Julia Stowers,United States,2000,Swimming,1,0,0,1
Manon van Rooijen,Netherlands,2000,Swimming,0,1,0,1
Simon Cho,United States,2010,Short-Track Speed Skating,0,0,1,1
Lee Eun-Byeol,South Korea,2010,Short-Track Speed Skating,0,1,0,1
Byeon Cheon-Sa,South Korea,2006,Short-Track Speed Skating,1,0,0,1
Gang Yun-Mi,South Korea,2006,Short-Track Speed Skating,1,0,0,1
Guo Wei,China,2002,Short-Track Speed Skating,0,0,1,1
Ju Min-Jin,South Korea,2002,Short-Track Speed Skating,1,0,0,1
Li Ye,China,2002,Short-Track Speed Skating,0,0,1,1
Park Hye-Won,South Korea,2002,Short-Track Speed Skating,1,0,0,1
Amelie Kober,Germany,2006,Snowboarding,0,1,0,1
Kelly Clark,United States,2002,Snowboarding,1,0,0,1
Stephan Hocke,Germany,2002,Ski Jumping,1,0,0,1
Veli-Matti Lindström,Finland,2002,Ski Jumping,0,1,0,1
Anastasiya Bliznyuk,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Andreea Stefanescu,Italy,2012,Rhythmic Gymnastics,0,0,1,1
Margarita Aliychuk,Russia,2008,Rhythmic Gymnastics,1,0,0,1
Cai Tongtong,China,2008,Rhythmic Gymnastics,0,1,0,1
Anna Gavrilenko,Russia,2008,Rhythmic Gymnastics,1,0,0,1
Tatyana Gorbunova,Russia,2008,Rhythmic Gymnastics,1,0,0,1
Yevgeniya Kanayeva,Russia,2008,Rhythmic Gymnastics,1,0,0,1
Kseniya Sankovich,Belarus,2008,Rhythmic Gymnastics,0,0,1,1
Alina Tumilovich,Belarus,2008,Rhythmic Gymnastics,0,0,1,1
Marinella Falca,Italy,2004,Rhythmic Gymnastics,0,1,0,1
Ele?nora Kezhova,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Tatyana Kurbakova,Russia,2004,Rhythmic Gymnastics,1,0,0,1
Yelena Posevina,Russia,2004,Rhythmic Gymnastics,1,0,0,1
Laura Vernizzi,Italy,2004,Rhythmic Gymnastics,0,1,0,1
Yuliya Raskina,Belarus,2000,Rhythmic Gymnastics,0,1,0,1
Yelena Shalamova,Russia,2000,Rhythmic Gymnastics,1,0,0,1
Johannes Rydzek,Germany,2010,Nordic Combined,0,0,1,1
Björn Kircheisen,Germany,2002,Nordic Combined,0,1,0,1
Idalys Ortíz,Cuba,2008,Judo,0,0,1,1
Tiago Camilo,Brazil,2000,Judo,0,1,0,1
Marie-Philip Poulin,Canada,2010,Ice Hockey,1,0,0,1
Meghan Agosta,Canada,2006,Ice Hockey,1,0,0,1
Sarah Parsons,United States,2006,Ice Hockey,0,0,1,1
Natalie Darwitz,United States,2002,Ice Hockey,0,1,0,1
Nanna Jansson,Sweden,2002,Ice Hockey,0,0,1,1
Ilya Kovalchuk,Russia,2002,Ice Hockey,0,0,1,1
Josefin Pettersson,Sweden,2002,Ice Hockey,0,0,1,1
Florencia Habif,Argentina,2012,Hockey,0,1,0,1
Lidewij Welten,Netherlands,2008,Hockey,1,0,0,1
Marina Vukcevic,Montenegro,2012,Handball,0,1,0,1
Diana Maria Chelaru,Romania,2012,Gymnastics,0,0,1,1
Ryohei Kato,Japan,2012,Gymnastics,0,1,0,1
Steliana Nistor,Romania,2008,Gymnastics,0,0,1,1
Oana Ban,Romania,2004,Gymnastics,1,0,0,1
Zhang Nan,China,2004,Gymnastics,0,0,1,1
Nataliya Ziganshina,Russia,2004,Gymnastics,0,0,1,1
Jamie Dantzscher,United States,2000,Gymnastics,0,0,1,1
Dmitry Drevin,Russia,2000,Gymnastics,0,0,1,1
Elise Ray,United States,2000,Gymnastics,0,0,1,1
Xing Aowei,China,2000,Gymnastics,1,0,0,1
Alexandre Pato,Brazil,2008,Football,0,0,1,1
Breno,Brazil,2008,Football,0,0,1,1
Francielle,Brazil,2008,Football,0,1,0,1
Kóki,Brazil,2004,Football,0,1,0,1
Marta,Brazil,2004,Football,0,1,0,1
Sylwia Gruchala,Poland,2000,Fencing,0,1,0,1
Tom Daley,Great Britain,2012,Diving,0,0,1,1
Iván García,Mexico,2012,Diving,0,1,0,1
Zhang Yanquan,China,2012,Diving,1,0,0,1
Huo Liang,China,2008,Diving,1,0,0,1
Yury Kunakov,Russia,2008,Diving,0,1,0,1
Aleksandr Dobroskok,Russia,2000,Diving,0,1,0,1
Emilie Heymans,Canada,2000,Diving,0,1,0,1
Laura Smulders,Netherlands,2012,Cycling,0,0,1,1
Jess Fox,Australia,2012,Canoeing,0,1,0,1
Ronald Rauhe,Germany,2000,Canoeing,0,0,1,1
Robeisy Ramírez,Cuba,2012,Boxing,1,0,0,1
Sergey Karasyov,Russia,2012,Basketball,0,0,1,1
Nijel Amos,Botswana,2012,Athletics,0,1,0,1
Pamela Jelimo,Kenya,2008,Athletics,1,0,0,1
Allyson Felix,United States,2004,Athletics,0,1,0,1
Saul Weigopwa,Nigeria,2004,Athletics,0,0,1,1
Veronica Campbell-Brown,Jamaica,2000,Athletics,0,1,0,1
Enefiok Udo-Obong,Nigeria,2000,Athletics,1,0,0,1
Mariana Avitia,Mexico,2012,Archery,0,0,1,1
Michael Phelps,United States,2004,Swimming,6,0,2,8
Katie Hoff,United States,2008,Swimming,0,1,2,3
Lee Ho-Seok,South Korea,2006,Short-Track Speed Skating,1,2,0,3
Elizabeth Beisel,United States,2012,Swimming,0,1,1,2
Becky Adlington,Great Britain,2008,Swimming,2,0,0,2
Libby Lenton-Trickett,Australia,2004,Swimming,1,0,1,2
Tomomi Morita,Japan,2004,Swimming,0,0,2,2
Anthony Ervin,United States,2000,Swimming,1,1,0,2
J. R. Celski,United States,2010,Short-Track Speed Skating,0,0,2,2
Marianne St-Gelais,Canada,2010,Short-Track Speed Skating,0,2,0,2
Apolo Anton Ohno,United States,2002,Short-Track Speed Skating,1,1,0,2
Sven Kramer,Netherlands,2006,Speed Skating,0,1,1,2
Ireen Wüst,Netherlands,2006,Speed Skating,1,0,1,2
Thomas Morgenstern,Austria,2006,Ski Jumping,2,0,0,2
Denis Ablyazin,Russia,2012,Gymnastics,0,1,1,2
Max Whitlock,Great Britain,2012,Gymnastics,0,0,2,2
Kohei Uchimura,Japan,2008,Gymnastics,0,2,0,2
Li Xiaopeng,China,2000,Gymnastics,2,0,0,2
Sun Yujie,China,2012,Fencing,1,0,1,2
Chen Ruolin,China,2012,Diving,2,0,0,2
Carolin Leonhardt,Germany,2004,Canoeing,1,1,0,2
Lee Seong-Jin,South Korea,2004,Archery,1,1,0,2
Togrul ?sg?rov,Azerbaijan,2012,Wrestling,1,0,0,1
Islam-Beka Albiyev,Russia,2008,Wrestling,1,0,0,1
Apti Aukhadov,Russia,2012,Weightlifting,0,1,0,1
Zulfiya Chinshanlo,Kazakhstan,2012,Weightlifting,1,0,0,1
Cristina Iovu,Moldova,2012,Weightlifting,0,0,1,1
Rim Jong-Sim,North Korea,2012,Weightlifting,1,0,0,1
Eko Irawan,Indonesia,2008,Weightlifting,0,0,1,1
Khadzhimurat Akkayev,Russia,2004,Weightlifting,0,1,0,1
Taner Sagir,Turkey,2004,Weightlifting,1,0,0,1
Nataliya Zabolotnaya,Russia,2004,Weightlifting,0,1,0,1
Raema Lisa Rumbewas,Indonesia,2000,Weightlifting,0,1,0,1
Agata Wróbel,Poland,2000,Weightlifting,0,1,0,1
Wu Wenxiong,China,2000,Weightlifting,0,1,0,1
Marta Bach,Spain,2012,Waterpolo,0,1,0,1
Anna Espar,Spain,2012,Waterpolo,0,1,0,1
Ash Southern,Australia,2012,Waterpolo,0,0,1,1
Maggie Steffens,United States,2012,Waterpolo,1,0,0,1
Roser Tarragó,Spain,2012,Waterpolo,0,1,0,1
Suzie Fraser,Australia,2008,Waterpolo,0,0,1,1
Ilse van der Meijden,Netherlands,2008,Waterpolo,1,0,0,1
Elena Gigli,Italy,2004,Waterpolo,1,0,0,1
Ericka Lorenz,United States,2000,Waterpolo,0,1,0,1
Wei Qiuyue,China,2008,Volleyball,0,0,1,1
Rosir Calderon,Cuba,2004,Volleyball,0,0,1,1
Marina Sheshenina,Russia,2004,Volleyball,0,1,0,1
Yekaterina Gamova,Russia,2000,Volleyball,0,1,0,1
Kasumi Ishikawa,Japan,2012,Table Tennis,0,1,0,1
Dmitrij Ovtcharov,Germany,2008,Table Tennis,0,1,0,1
Dong Dong,China,2008,Trampoline,0,0,1,1
He Wenna,China,2008,Trampoline,1,0,0,1
Lu Chunlong,China,2008,Trampoline,1,0,0,1
Jade Jones,Great Britain,2012,Taekwondo,1,0,0,1
Oscar Muñoz,Colombia,2012,Taekwondo,0,0,1,1
Nur Tatar,Turkey,2012,Taekwondo,0,1,0,1
Servet Tazegül,Turkey,2008,Taekwondo,0,0,1,1
Martina Zubcic,Croatia,2008,Taekwondo,0,0,1,1
Yaowapa Boorapolchai,Thailand,2004,Taekwondo,0,0,1,1
Laia Pons,Spain,2012,Synchronized Swimming,0,0,1,1
Stephanie Nesbitt,United States,2004,Synchronized Swimming,0,0,1,1
Tang Yi,China,2012,Swimming,0,0,1,1
Nathan Adrian,United States,2008,Swimming,1,0,0,1
Bronte Barratt,Australia,2008,Swimming,1,0,0,1
Elaine Breeden,United States,2008,Swimming,0,1,0,1
Ryan Cochrane,Canada,2008,Swimming,0,0,1,1
Lara Ilchenko,Russia,2008,Swimming,1,0,0,1
Liu Zige,China,2008,Swimming,1,0,0,1
Nikita Lobintsev,Russia,2008,Swimming,0,1,0,1
Mikhail Polishchuk,Russia,2008,Swimming,0,1,0,1
Sun Ye,China,2008,Swimming,0,0,1,1
Dave Davies,Great Britain,2004,Swimming,0,0,1,1
Helge Meeuw,Germany,2004,Swimming,0,1,0,1
Pang Jiaying,China,2004,Swimming,0,1,0,1
Nicholas Sprenger,Australia,2004,Swimming,0,1,0,1
Darian Townsend,South Africa,2004,Swimming,1,0,0,1
Yang Yu,China,2004,Swimming,0,1,0,1
Sara Harstick,Germany,2000,Swimming,0,0,1,1
Anna-Karin Kammerling,Sweden,2000,Swimming,0,0,1,1
Ágnes Kovács,Hungary,2000,Swimming,1,0,0,1
Erin Phenix,United States,2000,Swimming,1,0,0,1
Staciana Stitts,United States,2000,Swimming,1,0,0,1
Yasuko Tajima,Japan,2000,Swimming,0,1,0,1
Erik Vendt,United States,2000,Swimming,0,1,0,1
Tarnee White,Australia,2000,Swimming,0,1,0,1
Aly Dudek,United States,2010,Short-Track Speed Skating,0,0,1,1
Arianna Fontana,Italy,2010,Short-Track Speed Skating,0,0,1,1
Lana Gehring,United States,2010,Short-Track Speed Skating,0,0,1,1
Kim Seong-Il,South Korea,2010,Short-Track Speed Skating,0,1,0,1
Kalyna Roberge,Canada,2006,Short-Track Speed Skating,0,1,0,1
Choi Min-Kyung,South Korea,2002,Short-Track Speed Skating,1,0,0,1
Amélie Goulet-Nadon,Canada,2002,Short-Track Speed Skating,0,0,1,1
Brian Hansen,United States,2010,Speed Skating,0,1,0,1
Jonathan Kuck,United States,2010,Speed Skating,0,1,0,1
Naoko Sakamoto,Japan,2004,Softball,0,0,1,1
Hannah Teter,United States,2006,Snowboarding,1,0,0,1
Shaun White,United States,2006,Snowboarding,1,0,0,1
Danny Kass,United States,2002,Snowboarding,0,1,0,1
Kim Jang-Mi,South Korea,2012,Shooting,1,0,0,1
Vincent Hancock,United States,2008,Shooting,1,0,0,1
Lenka Hyková-Marušková,Czech Republic,2004,Shooting,0,1,0,1
Olena Kostevych,Ukraine,2004,Shooting,1,0,0,1
Zhu Qinan,China,2004,Shooting,1,0,0,1
Olivia Price,Australia,2012,Sailing,0,1,0,1
Zhang Yangyang,China,2008,Rowing,1,0,0,1
Darya Dmitriyeva,Russia,2012,Rhythmic Gymnastics,0,1,0,1
Ulyana Donskova,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Anastasiya Nazarenko,Russia,2012,Rhythmic Gymnastics,1,0,0,1
Alesya Babushkina,Belarus,2008,Rhythmic Gymnastics,0,0,1,1
Zina Lunina,Belarus,2008,Rhythmic Gymnastics,0,0,1,1
Glafira Martinovich,Belarus,2008,Rhythmic Gymnastics,0,0,1,1
Sui Jianshuang,China,2008,Rhythmic Gymnastics,0,1,0,1
Nataliya Zuyeva,Russia,2008,Rhythmic Gymnastics,1,0,0,1
Fabrizia D'Ottavio,Italy,2004,Rhythmic Gymnastics,0,1,0,1
Zhaneta Ilieva,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Daniela Masseroni,Italy,2004,Rhythmic Gymnastics,0,1,0,1
Kristina Rangelova,Bulgaria,2004,Rhythmic Gymnastics,0,0,1,1
Irina Belova,Russia,2000,Rhythmic Gymnastics,1,0,0,1
Anna Glazkova,Belarus,2000,Rhythmic Gymnastics,0,1,0,1
Vera Shimanskaya,Russia,2000,Rhythmic Gymnastics,1,0,0,1
Misato Nakamura,Japan,2008,Judo,0,0,1,1
Teddy Riner,France,2008,Judo,0,0,1,1
Wang Gi-Chun,South Korea,2008,Judo,0,1,0,1
Michelle Karvinen,Finland,2010,Ice Hockey,0,0,1,1
Minnamari Tuominen,Finland,2010,Ice Hockey,0,0,1,1
Linda Välimäki,Finland,2010,Ice Hockey,0,0,1,1
Kim Martin,Sweden,2006,Ice Hockey,0,1,0,1
Frida Nevalainen,Sweden,2006,Ice Hockey,0,1,0,1
Emelie Berggren,Sweden,2002,Ice Hockey,0,0,1,1
Julie Chu,United States,2002,Ice Hockey,0,1,0,1
Eva de Goede,Netherlands,2008,Hockey,1,0,0,1
Roc Oliva,Spain,2008,Hockey,0,1,0,1
Zhao Yudiao,China,2008,Hockey,0,1,0,1
Mark Knowles,Australia,2004,Hockey,1,0,0,1
Christopher Zeller,Germany,2004,Hockey,0,0,1,1
Sole García,Argentina,2000,Hockey,0,1,0,1
Angie Skirving-Lambert,Australia,2000,Hockey,1,0,0,1
Kim On-A,South Korea,2008,Handball,0,0,1,1
Sam Oldham,Great Britain,2012,Gymnastics,0,0,1,1
Ihor Radivilov,Ukraine,2012,Gymnastics,0,0,1,1
Yang Hak-Seon,South Korea,2012,Gymnastics,1,0,0,1
Hong Un-Jong,North Korea,2008,Gymnastics,1,0,0,1
Louis Smith,Great Britain,2008,Gymnastics,0,0,1,1
Kim Dae-Eun,South Korea,2004,Gymnastics,0,1,0,1
Silvia Stroescu,Romania,2004,Gymnastics,1,0,0,1
Teng Haibin,China,2004,Gymnastics,1,0,0,1
Gervasio Deferr,Spain,2000,Gymnastics,1,0,0,1
Kristin Maloney,United States,2000,Gymnastics,0,0,1,1
Ruslan Mezentsev,Ukraine,2000,Gymnastics,0,1,0,1
Gabriel,Brazil,2012,Football,0,1,0,1
Mana Iwabuchi,Japan,2012,Football,0,1,0,1
Lucas,Brazil,2012,Football,0,1,0,1
Diego Reyes,Mexico,2012,Football,1,0,0,1
Dele Adeleye,Nigeria,2008,Football,0,1,0,1
Efe Ambrose,Nigeria,2008,Football,0,1,0,1
Fabiana,Brazil,2008,Football,0,1,0,1
Chibuzor Okonkwo,Nigeria,2008,Football,0,1,0,1
